Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
"(344, 83)","(344, 125)","(344, 135)","(360, 177)","(375, 156)","(344, 135)","(344, 166)","(375, 156)","(328, 219)","(344, 281)","(328, 344)","(328, 219)","(344, 281)","(344, 333)","(344, 177)"
,"(344, 177)","(328, 177)",,,"(360, 177)","(344, 229)",,"(297, 281)",,,"(344, 260)",,,"(344, 198)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(516, 187)","(563, 146)","(579, 177)","(547, 187)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(500, 187)","(563, 146)","(579, 177)","(547, 187)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(500, 187)","(563, 146)","(579, 177)","(547, 187)","(516, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(500, 187)","(563, 146)","(579, 177)","(547, 187)","(516, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(500, 177)","(563, 146)","(579, 187)","(547, 177)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 125)","(500, 146)","(485, 177)","(516, 177)","(563, 146)","(579, 187)","(547, 177)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 281)","(563, 344)","(532, 187)"
"(532, 83)","(532, 135)","(500, 146)","(485, 187)","(516, 187)","(563, 146)","(579, 187)","(547, 187)","(516, 240)","(500, 292)","(500, 344)","(547, 229)","(563, 292)","(563, 344)","(532, 187)"
"(532, 93)","(532, 135)","(500, 156)","(485, 187)","(516, 177)","(563, 146)","(579, 187)","(547, 187)","(516, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 292)","(563, 344)","(532, 198)"
"(532, 93)","(532, 135)","(500, 156)","(485, 198)","(516, 187)","(563, 156)","(579, 198)","(547, 187)","(516, 240)","(500, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 198)"
"(516, 93)","(532, 146)","(500, 166)","(485, 198)","(516, 187)","(563, 156)","(579, 198)","(532, 187)","(516, 240)","(500, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 198)"
"(532, 104)","(532, 156)","(500, 166)","(485, 208)","(516, 198)","(563, 177)","(579, 208)","(547, 198)","(516, 240)","(485, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 208)"
"(532, 114)","(532, 156)","(500, 177)","(485, 219)","(516, 198)","(563, 177)","(563, 208)","(532, 198)","(516, 240)","(485, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 208)"
"(532, 135)","(532, 177)","(500, 187)","(485, 229)","(516, 219)","(563, 187)","(563, 229)","(532, 219)","(516, 250)","(485, 292)","(500, 344)","(547, 250)","(579, 292)","(563, 344)","(532, 219)"
"(532, 146)","(532, 187)","(500, 198)","(485, 229)","(516, 219)","(563, 198)","(563, 229)","(532, 219)","(500, 260)","(485, 302)","(500, 344)","(547, 260)","(579, 292)","(563, 344)","(532, 229)"
"(532, 166)","(532, 198)","(500, 208)","(485, 240)","(516, 229)","(563, 208)","(563, 240)","(532, 229)","(516, 260)","(485, 302)","(500, 344)","(547, 260)","(579, 292)","(563, 344)","(532, 240)"
"(532, 166)","(532, 208)","(500, 208)","(485, 250)","(516, 240)","(563, 219)","(563, 250)","(532, 229)","(500, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 240)"
"(532, 166)","(532, 208)","(500, 219)","(485, 250)","(516, 240)","(563, 219)","(563, 250)","(532, 240)","(516, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 240)"
"(532, 187)","(532, 219)","(500, 219)","(485, 260)","(516, 240)","(563, 219)","(563, 260)","(532, 240)","(516, 271)","(485, 292)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 250)"
"(532, 177)","(532, 219)","(500, 229)","(485, 260)","(516, 250)","(563, 229)","(563, 260)","(547, 250)","(516, 281)","(485, 292)","(500, 344)","(547, 281)","(579, 292)","(563, 344)","(532, 260)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 250)","(563, 240)","(563, 260)","(547, 250)","(516, 292)","(485, 292)","(500, 344)","(547, 292)","(579, 292)","(563, 344)","(532, 260)"
"(532, 187)","(532, 229)","(500, 229)","(485, 271)","(516, 250)","(563, 240)","(563, 271)","(547, 260)","(516, 281)","(485, 292)","(500, 344)","(547, 281)","(579, 292)","(563, 344)","(532, 260)"
"(532, 177)","(532, 219)","(500, 229)","(485, 271)","(516, 260)","(563, 240)","(563, 271)","(547, 260)","(516, 292)","(485, 292)","(500, 344)","(547, 292)","(579, 292)","(563, 344)","(532, 260)"
"(532, 187)","(532, 229)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 187)","(532, 229)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 187)","(532, 229)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(563, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 281)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 281)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(563, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(516, 187)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 292)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 250)","(563, 240)","(563, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 292)","(563, 344)","(532, 260)"
"(532, 177)","(532, 219)","(500, 229)","(485, 260)","(516, 250)","(563, 229)","(563, 260)","(532, 250)","(516, 281)","(485, 302)","(500, 344)","(547, 281)","(579, 292)","(563, 344)","(532, 260)"
,"(532, 240)","(500, 229)","(485, 260)","(516, 250)","(563, 240)","(563, 260)","(563, 250)","(516, 281)","(485, 292)","(500, 344)","(547, 281)","(579, 292)","(563, 344)","(532, 260)"
"(532, 166)","(532, 208)","(500, 219)","(485, 260)","(516, 240)","(563, 219)","(563, 260)","(547, 250)","(500, 281)","(485, 302)","(500, 344)","(547, 281)","(579, 292)","(563, 344)","(532, 250)"
"(516, 156)","(532, 198)","(500, 219)","(485, 250)","(516, 240)","(563, 219)","(563, 250)","(532, 240)","(500, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 250)"
"(532, 146)","(532, 187)","(485, 198)","(485, 240)","(516, 219)","(563, 198)","(563, 229)","(532, 219)","(500, 260)","(485, 302)","(500, 344)","(547, 260)","(579, 292)","(563, 344)","(532, 229)"
"(516, 135)","(532, 177)","(500, 198)","(485, 229)","(516, 208)","(563, 198)","(563, 229)","(547, 208)","(500, 260)","(485, 302)","(500, 344)","(547, 260)","(579, 292)","(563, 344)","(532, 229)"
"(516, 135)","(532, 166)","(485, 187)","(485, 219)","(516, 208)","(563, 187)","(563, 219)","(547, 208)","(500, 250)","(485, 292)","(500, 344)","(547, 250)","(579, 292)","(563, 344)","(532, 219)"
"(532, 114)","(516, 156)","(485, 177)","(485, 208)","(516, 187)","(563, 177)","(563, 208)","(547, 187)","(500, 240)","(485, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 208)"
"(516, 104)","(532, 146)","(485, 156)","(485, 198)","(516, 177)","(563, 156)","(563, 198)","(547, 177)","(500, 240)","(485, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 198)"
"(516, 93)","(516, 135)","(485, 156)","(485, 187)","(516, 177)","(563, 156)","(563, 187)","(547, 177)","(500, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 292)","(563, 344)","(532, 198)"
"(516, 93)","(532, 135)","(485, 156)","(485, 187)","(516, 166)","(563, 146)","(563, 187)","(532, 166)","(500, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 281)","(563, 344)","(532, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 187)","(516, 166)","(563, 146)","(563, 187)","(532, 166)","(500, 229)","(500, 292)","(500, 344)","(547, 229)","(547, 292)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 166)","(563, 146)","(563, 177)","(547, 166)","(500, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 156)","(563, 146)","(563, 177)","(547, 166)","(500, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 156)","(563, 146)","(563, 177)","(547, 166)","(500, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 156)","(563, 146)","(563, 177)","(547, 166)","(500, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 156)","(563, 146)","(563, 177)","(547, 166)","(500, 229)","(500, 281)","(500, 344)","(547, 219)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 156)","(563, 146)","(563, 177)","(547, 166)","(500, 219)","(500, 281)","(500, 344)","(547, 219)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 156)","(563, 146)","(563, 177)","(547, 166)","(500, 219)","(500, 281)","(500, 344)","(547, 219)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 156)","(563, 146)","(563, 177)","(547, 166)","(516, 219)","(500, 281)","(500, 344)","(547, 219)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 166)","(563, 146)","(563, 177)","(547, 166)","(516, 229)","(500, 281)","(500, 344)","(547, 219)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 166)","(563, 146)","(579, 177)","(547, 166)","(516, 229)","(500, 281)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(516, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 177)","(516, 166)","(563, 146)","(563, 177)","(532, 166)","(500, 229)","(500, 292)","(500, 344)","(547, 229)","(547, 281)","(563, 344)","(532, 187)"
"(516, 83)","(516, 125)","(485, 146)","(485, 187)","(500, 166)","(547, 146)","(563, 177)","(547, 166)","(500, 229)","(500, 292)","(500, 344)","(547, 229)","(563, 292)","(563, 344)","(532, 187)"
"(516, 93)","(516, 135)","(485, 156)","(485, 187)","(516, 166)","(547, 146)","(563, 187)","(547, 166)","(500, 240)","(500, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(516, 198)"
"(516, 104)","(516, 146)","(485, 166)","(485, 198)","(516, 166)","(547, 156)","(563, 187)","(547, 166)","(500, 240)","(500, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(516, 198)"
"(516, 114)","(516, 156)","(485, 166)","(485, 198)","(516, 177)","(547, 166)","(563, 198)","(532, 177)","(500, 240)","(485, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(516, 208)"
"(516, 114)","(516, 156)","(485, 166)","(485, 208)","(516, 177)","(563, 166)","(563, 208)","(547, 177)","(516, 240)","(485, 292)","(500, 344)","(547, 240)","(563, 292)","(563, 344)","(532, 208)"
"(516, 125)","(516, 166)","(485, 187)","(485, 219)","(516, 198)","(563, 187)","(563, 219)","(547, 198)","(500, 250)","(485, 302)","(500, 344)","(547, 250)","(563, 292)","(563, 344)","(532, 219)"
"(516, 135)","(532, 177)","(500, 187)","(485, 229)","(516, 208)","(563, 187)","(563, 229)","(547, 208)","(516, 250)","(485, 302)","(500, 344)","(547, 250)","(579, 292)","(563, 344)","(532, 219)"
"(516, 146)","(532, 187)","(500, 198)","(485, 229)","(516, 208)","(563, 198)","(563, 229)","(547, 208)","(500, 260)","(485, 302)","(500, 344)","(547, 260)","(579, 292)","(563, 344)","(532, 229)"
"(516, 156)","(532, 198)","(500, 208)","(485, 250)","(516, 229)","(563, 208)","(563, 250)","(532, 219)","(500, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 302)","(563, 344)","(532, 240)"
"(532, 166)","(532, 208)","(500, 219)","(485, 260)","(516, 240)","(563, 219)","(563, 250)","(532, 229)","(500, 281)","(485, 302)","(500, 344)","(547, 281)","(579, 302)","(563, 344)","(532, 250)"
"(516, 166)","(532, 208)","(500, 229)","(485, 260)","(516, 250)","(563, 229)","(563, 260)","(532, 240)","(500, 281)","(485, 302)","(500, 344)","(547, 281)","(579, 302)","(563, 344)","(532, 250)"
"(532, 166)","(532, 208)","(500, 229)","(485, 271)","(516, 250)","(563, 229)","(563, 260)","(532, 240)","(516, 281)","(485, 302)","(500, 354)","(547, 281)","(579, 302)","(563, 344)","(532, 260)"
"(532, 177)","(532, 219)","(500, 229)","(485, 271)","(516, 250)","(563, 229)","(563, 271)","(547, 250)","(516, 292)","(485, 302)","(500, 354)","(547, 292)","(579, 302)","(563, 344)","(532, 260)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(532, 250)","(516, 302)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 302)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 302)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 281)","(516, 260)","(563, 240)","(579, 271)","(532, 250)","(516, 302)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 281)","(516, 260)","(563, 240)","(579, 271)","(532, 250)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 281)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 281)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 281)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 177)","(532, 219)","(500, 240)","(485, 271)","(516, 260)","(563, 240)","(579, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(532, 187)","(532, 229)","(500, 229)","(485, 271)","(516, 250)","(563, 240)","(563, 271)","(547, 260)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 260)"
"(500, 229)","(532, 281)","(500, 260)","(485, 260)","(500, 260)","(547, 260)","(563, 281)","(547, 344)","(516, 292)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 271)"
"(547, 229)","(532, 240)","(500, 240)","(485, 260)","(516, 240)","(563, 260)","(563, 260)","(547, 344)","(516, 281)","(485, 302)","(500, 344)","(547, 292)","(579, 302)","(563, 344)","(532, 260)"
"(532, 156)","(532, 208)","(500, 219)","(485, 260)","(516, 240)","(563, 219)","(563, 250)","(532, 229)","(516, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 250)"
"(516, 156)","(532, 198)","(500, 219)","(485, 250)","(516, 229)","(563, 208)","(563, 250)","(532, 229)","(500, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 250)"
"(516, 156)","(532, 187)","(500, 208)","(485, 240)","(516, 219)","(563, 208)","(563, 240)","(532, 219)","(500, 271)","(485, 302)","(500, 344)","(547, 271)","(579, 292)","(563, 344)","(532, 240)"
"(516, 146)","(532, 187)","(500, 198)","(485, 240)","(516, 219)","(563, 198)","(563, 229)","(532, 219)","(516, 260)","(485, 302)","(500, 344)","(547, 260)","(579, 292)","(563, 344)","(532, 229)"
"(516, 125)","(532, 166)","(500, 177)","(485, 219)","(516, 198)","(563, 177)","(563, 208)","(547, 198)","(500, 250)","(485, 292)","(500, 344)","(547, 250)","(563, 292)","(563, 344)","(532, 219)"
